"","Year","Country","Populations","Emissions_Yearly_Total","Emissions_Capita","LAT","LONG","Global_Pop"
"206","X1961","Chile",7848372,14472.33333,1.84399176457657,-30,-71,21162222957
"207","X1961","Guinea-Bissau",595705,29.33333333,0.049241375065399,12,-15,21162222957
"208","X1961","Australia",10493531,90581.33333,8.63211185380148,-25,135,21162222957
"209","X1961","Kiribati",33880,7.333333333,0.216450216450216,-5,-170,21162222957
"210","X1961","Gabon",488394,165,0.337841988230814,-1,11.75,21162222957
"211","X1961","Trinidad and Tobago",856289,4601.666667,5.37396447538934,11,-61,21162222957
"212","X1961","Tunisia",4297441,1767.333333,0.411252494992563,34,9,21162222957
"213","X1961","Mozambique",7800484,2632.666667,0.337500425187292,-18.25,35,21162222957
"214","X1961","Cameroon",5525481,282.3333333,0.051096607396412,6,12,21162222957
"215","X1961","Bahrain",167179,1771,10.5934357784171,26,50.5,21162222957
"216","X1961","Senegal",3130743,814,0.26000217839663,14,-14,21162222957
"217","X1961","Antigua and Barbuda",55408,47.66666667,0.860284916738858,17.05,-61.8,21162222957
"218","X1961","Togo",1593657,91.66666667,0.057519696312736,8,1.166667,21162222957
"219","X1961","Nicaragua",1828750,561,0.306766917293233,13,-85,21162222957
"220","X1961","Malta",311724,293.3333333,0.941003366225678,35.916667,14.433333,21162222957
"221","X1961","Bermuda",45573,176,3.8619357953174,32.333333,-64.75,21162222957
"222","X1961","Equatorial Guinea",255100,22,0.086240689925519,2,10,21162222957
"223","X1961","Niger",3344605,55,0.01644439328411,16,8,21162222957
"224","X1961","Norway",3609745,13350.33333,3.69841452327888,62,10,21162222957
"225","X1961","Kuwait",296442,9980.666667,33.6681936657649,29.5,47.75,21162222957
"226","X1961","Solomon Islands",129642,14.66666667,0.113132061111882,-8,159,21162222957
"227","X1961","Kenya",8361428,2401.666667,0.287231638742409,1,38,21162222957
"228","X1961","French Polynesia",81695,58.66666667,0.718118203888447,-15,-140,21162222957
"229","X1961","Thailand",28149653,4147,0.147319755593435,15,100,21162222957
"230","X1961","China",667084365,552016.6667,0.82750652785374,35,105,21162222957
"231","X1961","Morocco",11947688,3776.666667,0.316100208397362,32,-5,21162222957
"232","X1961","Madagascar",5226922,355.6666667,0.068045145243542,-20,47,21162222957
"233","X1961","Greenland",33948,293.3333333,8.6406661168061,72,-40,21162222957
"234","X1961","Canada",18284009,194164.6667,10.6193705476007,60,-96,21162222957
"235","X1961","Cuba",7281821,12180.66667,1.67275008087492,22,-79.5,21162222957
"236","X1961","Vietnam",36055820,7986,0.221489900936936,16.166667,107.833333,21162222957
"237","X1961","Peru",10216429,8642.333333,0.84592506181302,-10,-76,21162222957
"238","X1961","Libya",1399552,1195.333333,0.854082830315225,25,17,21162222957
"239","X1961","Uganda",7006823,407,0.058086239655262,2,33,21162222957
"240","X1961","Philippines",26893021,8723,0.324359245471158,13,122,21162222957
"241","X1961","Bolivia",3430160,1041.333333,0.303581562764808,-17,-65,21162222957
"242","X1961","Fiji",407137,168.6666667,0.414274965593072,-18,178,21162222957
"243","X1961","Switzerland",5393334,20386.66667,3.77997481088074,47,8,21162222957
"244","X1961","Djibouti",89853,44,0.489688713788076,11.5,42.5,21162222957
"245","X1961","Mexico",39684127,65299.66667,1.64548577991061,23,-102,21162222957
"246","X1961","Belize",95294,36.66666667,0.38477413758124,17.25,-88.75,21162222957
"247","X1961","Bulgaria",7939132,25971,3.27126441530384,43,25,21162222957
"248","X1961","New Caledonia",80531,887.3333333,11.018531166052,-21.5,165.5,21162222957
"249","X1961","Turkey",28894367,17361.66667,0.600866828702863,39.059012,34.911546,21162222957
"250","X1961","Hungary",10010165,48972,4.89222705120245,47,20,21162222957
"251","X1961","India",456949783,130390.3333,0.285349370760034,20,77,21162222957
"252","X1961","Sao Tome and Principe",64564,11,0.170373582801561,1,7,21162222957
"253","X1961","Nigeria",46912826,4114,0.087694567792612,10,8,21162222957
"254","X1962","New Zealand",2477327,11209,4.52463481809224,-42,174,21524875241
"255","X1962","Panama",1196016,1191.666667,0.996363482316847,9,-80,21524875241
"256","X1962","Tanzania",10683638,726,0.071729623685615,-6,35,21524875241
"257","X1962","Rwanda",2942908,84.33333333,0.028656462700612,-2,30,21524875241
"258","X1962","Thailand",29016942,5034.333333,0.173496343389091,15,100,21524875241
"259","X1962","Sweden",7573556,51322.33333,6.77651731014246,62,15,21524875241
"260","X1962","Algeria",11209845,5668.666667,0.505686444965712,28,3,21524875241
"261","X1962","Guatemala",4391307,1382.333333,0.314788588758047,15.5,-90.25,21524875241
"262","X1962","Dominica",61983,11,0.177468015423584,15.5,-61.333333,21524875241
"263","X1962","Uruguay",2603317,4011.333333,1.540854737757,-33,-56,21524875241
"264","X1962","France",46919371,298679.3333,6.36580003029736,46,2,21524875241
"265","X1962","Samoa",116702,18.33333333,0.157095279715286,-13.803096,-172.178309,21524875241
"266","X1962","Mauritius",697738,253,0.362600288360387,-20.3,57.583333,21524875241
"267","X1962","Romania",18640463,63873.33333,3.42659585941258,46,25,21524875241
"268","X1962","Ecuador",4706566,1565.666667,0.332655840089498,-2,-77.5,21524875241
"269","X1962","Bermuda",46436,157.6666667,3.39535417922876,32.333333,-64.75,21524875241
"270","X1962","Grenada",92408,25.66666667,0.277753729835801,12.116667,-61.666667,21524875241
"271","X1962","Guinea",3645873,660,0.181026601859143,11,-10,21524875241
"272","X1962","Indonesia",96582241,22993.66667,0.238073443198182,-5,120,21524875241
"273","X1962","Papua New Guinea",2037162,198,0.097194037587585,-6,147,21524875241
"274","X1962","Greece",8431099,10164,1.20553678707841,39,22,21524875241
"275","X1962","Kuwait",336991,14289,42.401725862115,29.5,47.75,21524875241
"276","X1962","Jordan",970642,1048.666667,1.08038459768552,31,36,21524875241
"277","X1962","Niger",3443850,66,0.019164597761226,16,8,21524875241
"278","X1962","China",675641408,440319,0.651705172948348,35,105,21524875241
"279","X1962","Tunisia",4375959,1796.666667,0.410576668260984,34,9,21524875241
"280","X1962","Nepal",10102057,88,0.008711097155757,28,84,21524875241
"281","X1962","Costa Rica",1430880,550,0.384378843788438,10,-84,21524875241
"282","X1962","Guinea-Bissau",597352,40.33333333,0.067520211421964,12,-15,21524875241
"283","X1962","Kenya",8628949,2625.333333,0.304247172318823,1,38,21524875241
"284","X1962","Iceland",182853,1199,6.5571798111051,65,-18,21524875241
"285","X1962","Colombia",16984652,19440.66667,1.14460200106936,4,-72,21524875241
"286","X1962","Turkey",29633591,21629.66667,0.729903664617179,39.059012,34.911546,21524875241
"287","X1962","Cote d'Ivoire",3926909,586.6666667,0.149396552521759,8,-5,21524875241
"288","X1962","Tonga",66257,11,0.1660201940927,-20,-175,21524875241
"289","X1962","Bulgaria",8008652,30734,3.83759963599367,43,25,21524875241
"290","X1962","Sudan",9642172,1485,0.154010942762689,16,30,21524875241
"291","X1962","Bahrain",172294,1591.333333,9.2361506107777,26,50.5,21524875241
"292","X1962","Greenland",35216,264,7.49659245797365,72,-40,21524875241
"293","X1962","Suriname",306474,495,1.61514516728988,4,-56,21524875241
"294","X1962","Sierra Leone",2257946,326.3333333,0.144526633202625,8.5,-11.5,21524875241
"295","X1962","Ghana",7179577,1433.666667,0.199686787489941,8,-2,21524875241
"296","X1962","Luxembourg",320992,11550,35.9822051639916,49.75,6.166667,21524875241
"297","X1962","United States",191953977,2986936.333,15.5606900154683,39.828175,-98.5795,21524875241
"298","X1962","Australia",10697112,94904.33333,8.87195846255824,-25,135,21524875241
"299","X1962","Israel",2264402,7942,3.50732776247327,31.5,34.75,21524875241
"300","X1962","Haiti",4024114,304.3333333,0.075627413471222,19,-72.416667,21524875241
"301","X1962","Sao Tome and Principe",64474,11,0.17061140925024,1,7,21524875241
"302","X1962","Norway",3637730,14076.33333,3.86953768788044,62,10,21524875241
